"#ID	Moon    	YofD	Group	a	Orb P	e	i	Uncert	Hv	Size	LC amp	at pha	Rot P   	B-R a	B-R b	Abbr./",Column1,_1,a,Orb P,e,i,Uncert,Hv,Size,LC amp,at pha/Rot P/B-R a/B-R b/Abbr
609,"	Phoebe  ","	1899	retro",12.95,1.5,0.16,175.2,0.1,6.6,"	212-214", 0.34,"	(29°)	 9.2735 	0.98	0.91	Pho/"
619,"	Ymir    ","	2000	retro",23.13,3.6,0.33,173.5,0.5,12.3,"	16-25","	0.63","	(29°)	11.9222 	1.22		Ymi/"
620,"	Paaliaq ","	2000	Inuit",15.2,1.88,0.33,46.2,0.3,11.7,"	21-33","	0.10","	(21°)	18.79   	1.26		Paa/"
621,"	Tarvos  ","	2000	Gallic",18.24,2.53,0.54,33.7,0.7,12.9,"	12-19","	0.18","	(38°)	10.691  	1.21	1.13	Tar/"
622,"	Ijiraq  ","	2000	Inuit",11.41,1.24,0.27,47.5,0.6,13.2,"	11-16","	0.20","	(47°)	13.03   	1.63	1.40	Iji/"
623,"	Suttungr","	2000	retro",19.47,2.78,0.11,175.8,0.6,14.5,"	 6-9","	0.25","	(12°)	 7.67   	1.12		Sut/"
624,"	Kiviuq  ","	2000	Inuit",11.38,1.23,0.33,46.8,0.6,12.6,"	14-22","	1.71","	(31°)	21.97   	1.38		Kiv/"
625,"	Mundilfari","	2000	retro",18.65,2.61,0.21,167.4,0.8,14.5,"	 6-9","	0.78","	(36°)	 6.74   	0.99		Mun/"
626,"	Albiorix","	2000	Gallic",16.39,2.15,0.48,34.1,0.3,11.1,"	23-34","	0.72","	(45°)	13.33   	1.35	1.29	Alb/"
627,"	Skathi  ","	2000	retro",15.64,1.99,0.27,152.6,0.7,14.3,"	 6-10","	0.38","	(15°)	11.10   	1.09		Ska/"
628,"	Erriapus","	2000	Gallic",17.6,2.38,0.47,34.5,1.4,13.7,"	 8-13","	0.98","	(42°)	28.15   	1.11	1.19	Err/"
629,"	Siarnaq ","	2000	Inuit",18.18,2.45,0.28,45.8,0.1,10.6,"	33-45","	0.33","	(30°)	10.1879 	1.36		Sia/"
630,"	Thrymr  ","	2000	retro",20.42,3,0.47,177.7,0.7,14.3,"	 6-10","	0.30","	(19°)	38.79 (?)	1.00		Thr/"
631,"	Narvi   ","	2003	retro",19.35,2.75,0.43,145.7,0.8,14.4,"	 6-9","	0.37","	(54°)	10.21   		1.29	Nar/"
636,"	Aegir   ","	2005	retro",20.75,3.06,0.25,166.7,82.1,15.5,"	 4-6","	-","		  ?     		1.30	Aeg/"
637,"	Bebhionn","	2005	Gallic",17.12,2.29,0.47,35.1,1.3,15,"	 5-7","	0.58","	(19°)	16.33   		1.12	Beb/"
